,Train_set,Test_set,Model name,Split,N_actives_train,N_actives_test,N_mols_train,Num_mols_test,Mean-CV-ROC,ROC-AUC_train,ROC-AUC_test,best_params,DkS_max_ROC_train,DkSc_med_ROC_train,DkSc_mean_ROC_train,DkS_max_ROC_test,DkSc_med_ROC_test,DkSc_mean_ROC_test
0,DEKOIS,DEKOIS,LinearSVC,random,915,30,306,10,0.7834274952919021,0.992467043314501,0.8885135135135135,{'C': 1},0.8908851224105462,0.8170998116760828,0.8139734961781323,0.9616554054054054,0.8908783783783785,0.8843352543720191
1,DEKOIS,DEKOIS,LinearSVC,scaffold,885,30,336,10,0.847270955165692,0.874522417153996,0.956441717791411,{'C': 1e-15},0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
2,DEKOIS,DEKOIS,rbfSVC,random,915,30,306,10,0.9150659133709981,0.9140866290018833,0.8317567567567568,"{'C': 1e-08, 'gamma': 1e-06}",0.9072128060263654,0.8454425612052732,0.8431138528857871,0.9057432432432433,0.7960304054054054,0.793556240063593
3,DEKOIS,DEKOIS,rbfSVC,scaffold,885,30,336,10,0.8463937621832359,0.8751267056530214,0.9527607361963191,"{'C': 1e-08, 'gamma': 1e-06}",0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
4,DEKOIS,DEKOIS,LogReg,random,915,30,306,10,0.9118644067796611,0.9127683615819209,0.8293918918918919,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9171186440677966,0.8575706214689266,0.8513477622687492,0.889358108108108,0.7752533783783784,0.7714067468203498
5,DEKOIS,DEKOIS,LogReg,scaffold,885,30,336,10,0.8635477582846004,0.8756335282651073,0.9558282208588957,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
6,DEKOIS,DEKOIS,kNN,random,915,30,306,10,0.861111111111111,0.8770809792843692,0.9469594594594595,"{'n_neighbors': 225, 'p': 1}",0.8799058380414313,0.8112994350282485,0.8076118865625347,0.9716216216216216,0.9039695945945947,0.9005725854531003
7,DEKOIS,DEKOIS,kNN,scaffold,885,30,336,10,0.8394736842105261,0.8706432748538013,0.9533742331288343,"{'n_neighbors': 225, 'p': 2}",0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
8,DEKOIS,DEKOIS,DTree,random,915,30,306,10,0.8578154425612053,0.8959133709981169,0.7880067567567567,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.25}",0.9066854990583804,0.8258945386064029,0.8237822643181567,0.9253378378378379,0.8537162162162162,0.8525263314785373
9,DEKOIS,DEKOIS,DTree,scaffold,885,30,336,10,0.817251461988304,0.8893762183235867,0.8973926380368098,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.3}",0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
10,DEKOIS,DEKOIS,RandForest,random,915,30,306,10,0.8866290018832392,0.9262335216572505,0.8652027027027026,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'n_estimators': 500}",0.9130131826741996,0.8353389830508475,0.830999639968982,0.9510135135135135,0.8299831081081082,0.829810463036566
11,DEKOIS,DEKOIS,RandForest,scaffold,885,30,336,10,0.8562378167641326,0.8974658869395712,0.9461656441717792,"{'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'n_estimators': 500}",0.8839376218323587,0.81635477582846,0.8115101479188166,0.9654907975460123,0.8969325153374232,0.8925714994586792
12,DUD,DUD,LinearSVC,random,3669,106,1224,35,0.8001250608262049,0.8000651348503223,0.7847651087348311,{'C': 1e-12},0.7221138112360265,0.5699584037195706,0.5715569779641108,0.7784572870359244,0.5648924666586568,0.5679912503268758
13,DUD,DUD,LinearSVC,scaffold,3564,105,1329,36,0.8834722552514476,0.9025895180275058,0.5457377330927216,{'C': 1e-06},0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
14,DUD,DUD,rbfSVC,random,3669,106,1224,35,0.867076563486731,0.9883842850258686,0.898329929112099,"{'C': 0.01, 'gamma': 0.01}",0.7216478058028267,0.5663620862215961,0.567278298148781,0.7321638832151869,0.5786375105130361,0.5815435257366194
15,DUD,DUD,rbfSVC,scaffold,3564,105,1329,36,0.9411719950940147,0.9968143834579221,0.586942510956432,"{'C': 0.01, 'gamma': 0.01}",0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
16,DUD,DUD,LogReg,random,3669,106,1224,35,0.8415022491625546,0.9217931677248874,0.8569746485642196,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7228578312742602,0.570593865673934,0.5685198630922139,0.716472425808002,0.5756217709960351,0.5771476631022467
17,DUD,DUD,LogReg,scaffold,3564,105,1329,36,0.8903973784288818,0.9619102685884994,0.6184153991578586,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
18,DUD,DUD,kNN,random,3669,106,1224,35,0.8384835536788827,0.8946682094270781,0.7282229965156793,"{'n_neighbors': 125, 'p': 1}",0.7298545321676136,0.5630537124216926,0.563118962137993,0.7252192718971525,0.5965096719932717,0.5935148702037586
19,DUD,DUD,kNN,scaffold,3564,105,1329,36,0.8273441754172538,0.9510221781687522,0.5959654550141789,"{'n_neighbors': 55, 'p': 1}",0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
20,DUD,DUD,DTree,random,3669,106,1224,35,0.7818963954662145,0.8632803605187488,0.7607833713805119,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 0.2}",0.7139295908154565,0.5721825205598419,0.57083926028802,0.7774119908686772,0.5690376066322239,0.5705280724569054
21,DUD,DUD,DTree,scaffold,3564,105,1329,36,0.8253894394645002,0.8750602293533778,0.5932585717968548,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 0.25}",0.7467806550200307,0.5449937361472488,0.5470370498589723,0.7192790238033857,0.6397428460943542,0.6380410923069924
